"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"1875","376570488117","조선일보","'불륜 공화국' 된다? 남성에게 유리하다?
‘국가의 권력이 왜 내 침대까지 파고 드는가’하는 항변이 ‘불륜공화국에 대한 우려’를 이겼습니다. 26일 헌법재판소는 간통죄 처벌이 ‘과잉금지원칙’에 위배된다며 간통죄가 위헌이라고 판결했습니다.","2015-02-26T08:58:22+0000","link","http://news.chosun.com/site/data/html_dir/2015/02/26/2015022602903.html","376570488117_10153104351253118",NA,465,53,24
"1876","376570488117","조선일보","[속보] 헌재, 간통죄 위헌 결정… 62년 만에 폐지","2015-02-26T05:19:33+0000","link","http://news.chosun.com/site/data/html_dir/2015/02/26/2015022602216.html","376570488117_10153104019643118",NA,777,131,76
"1877","376570488117","조선일보","<세종시 편의점 총기난사 사건 브리핑>

- 용의자는 편의점 주인 동거녀의 전 남자친구 (혹은 전 남편)
- 공주 신관지구대에 영치된 엽총 2정을 받아 세종시로 향함

- 출근하려던 동거녀의 오빠를 살해
- 집에 들어가 동거녀의 아버지 살해
- 편의점으로 이동해 편의점 주인 살해

- 용의자는 편의점에 불을 지르고 도주 후 금강변에서 숨진 채 발견

http://chosun.com/tw/?id=2015022501032","2015-02-25T01:39:19+0000","photo","https://www.facebook.com/chosun/photos/a.10150175486148118.325596.376570488117/10153101709708118/?type=3","376570488117_10153101709708118",NA,424,53,7
"1878","376570488117","조선일보","1. 야근 많지만 연봉 높고 승진이 보장된 부서

2. 연봉 낮아도 야근 덜 하는 부서

여러분의 선택은?

http://chosun.com/tw/?id=2015022500129","2015-02-25T00:21:21+0000","photo","https://www.facebook.com/chosun/photos/a.10150175486148118.325596.376570488117/10153101615343118/?type=3","376570488117_10153101615343118",NA,207,103,12
"1879","376570488117","조선일보","한 사람이 하루씩 날짜를 써서 1년의 달력을 만들었다. 단, '364일만'

#2015년_하루를쓰다

기사원문: http://goo.gl/6FFxLo","2015-02-24T14:00:00+0000","video","https://www.facebook.com/chosun/videos/10153100102213118/","376570488117_10153100102213118",NA,674,10,60
"1880","376570488117","조선일보",NA,"2015-02-24T12:49:49+0000","photo","https://www.facebook.com/chosun/photos/a.10152297617083118.1073741888.376570488117/10153100463613118/?type=3","376570488117_10153100463613118","조선일보 updated their cover photo.",96,0,4
"1881","376570488117","조선일보","만나서 눈물 흘린 野원내대표와 신임 총리.tears

#토이리의_눈물","2015-02-24T12:00:01+0000","video","https://www.facebook.com/chosun/videos/10153100255823118/","376570488117_10153100255823118",NA,170,28,14
"1882","376570488117","조선일보","오늘은 어깨 운동을 하겠습니다.

#명절증후군_이겨내는_어깨운동법","2015-02-23T14:00:00+0000","video","https://www.facebook.com/chosun/videos/10153097900868118/","376570488117_10153097900868118",NA,221,16,75
"1883","376570488117","조선일보","설 연휴 마지막 날인 22일에 몽골과 중국에서 날아온 황사로 한반도엔 잿빛 경고가 내려졌습니다. 

23일인 오늘도 전국을 뒤덮을 황사, 피해를 줄이려면 어떻게 해야할까요?

 http://chosun.com/tw/?id=2015022300143","2015-02-23T00:00:01+0000","link","http://chosun.com/tw/?id=2015022300143","376570488117_10153096734088118",NA,122,8,14
"1884","376570488117","조선일보","인민군 탱크 지나간 뒤… 청계천변에 터 잡은 '삼팔따라지'

광복 이후 격동의 세월 70년을 지나면서 오늘의 대한민국을 일군 우리의 이야기입니다.

http://chosun.com/tw/?id=2015022101526","2015-02-22T01:37:40+0000","photo","https://www.facebook.com/chosun/photos/a.10150175486148118.325596.376570488117/10153094141543118/?type=3","376570488117_10153094141543118",NA,249,5,27
"1885","376570488117","조선일보","시험기간에 잠 안자고 공부하는 비결이 따로 있다?

'엄친딸' 이래나가 전하는 예일대생들의 학교 생활.

궁금하시죠?

http://chosun.com/tw/?id=2015021201802","2015-02-21T02:25:03+0000","photo","https://www.facebook.com/chosun/photos/a.10150175486148118.325596.376570488117/10153091391618118/?type=3","376570488117_10153091391618118",NA,202,19,122
"1886","376570488117","조선일보","'국제시장', 해외 대작 '아바타'마저 꺾고 역대 흥행 2위 

설 연휴 가족 관객을 끌어오는 데 성공한 영화 '국제시장'이 또 신기록을 세웠습니다.

http://chosun.com/tw/?id=2015022001089","2015-02-20T09:31:37+0000","photo","https://www.facebook.com/chosun/photos/a.10150175486148118.325596.376570488117/10153089034868118/?type=3","376570488117_10153089034868118",NA,666,21,9
"1887","376570488117","조선일보","강사가 예뻐야 학생도 몰리는 시대?

#야동같은_영어강의","2015-02-17T14:00:03+0000","video","https://www.facebook.com/chosun/videos/10153080520418118/","376570488117_10153080520418118",NA,758,121,141
"1888","376570488117","조선일보","""설날이 싫다""는 취업준비생들… 그들에게 너무 절실한 취업..

#취준생 #올한해_모두_힘내시길

기사원문: http://goo.gl/zEM2L3","2015-02-17T01:00:01+0000","video","https://www.facebook.com/chosun/videos/10153077902253118/","376570488117_10153077902253118",NA,192,19,12
"1889","376570488117","조선일보","설날 제수용품 원산지 구별법

#돼지삼겹살 #배추김치 #쇠고기양지 #쌀 #곶감

기사원문: http://goo.gl/rOmXuk","2015-02-16T14:00:00+0000","video","https://www.facebook.com/chosun/videos/10153077800558118/","376570488117_10153077800558118",NA,103,3,14
"1890","376570488117","조선일보","2015학년 서울대 합격자 출신 고교별 현황 보니 

2015학년도 대입에서 서울대 합격자를 많이 배출한 고등학교 중에는 여전히 특목고(외고·과고·예술고 등)가 많지만, 전년에 비하면 일반고와 자사고 합격생이 늘어난 것으로 조사됐습니다.

 http://chosun.com/tw/?id=2015021600065","2015-02-16T06:21:13+0000","photo","https://www.facebook.com/chosun/photos/a.10150175486148118.325596.376570488117/10153077746573118/?type=3","376570488117_10153077746573118",NA,865,152,48
"1891","376570488117","조선일보","""신중년 여성들이 데이트하고 싶은 남성 1위가 최불암 기사보고,
창피해서 와이프에 말도 못하다가 '좋은 기사 났네' 반응에 얼굴이 후끈후끈하더라""","2015-02-14T01:00:00+0000","link","http://premium.chosun.com/site/data/html_dir/2015/02/13/2015021301993.html","376570488117_10153071331698118",NA,252,3,16
